AMD,Advanced Micro Devices Inc,122.38,0.1,0.08
ADBE,Adobe Inc.,640.03,-0.05,-0.01
ALGN,Align Technology Inc,626.68,22.29,3.69
AMZN,Amazon.com Inc,"3,444.34",51.86,1.53
AMGN,Amgen Inc,208.01,1.43,0.69
AEP,American Electric Power Company Inc,83.75,-0.55,-0.65
ADI,Analog Devices Inc,173.9,3.44,2.02
ANSS,ANSYS Inc,374.02,3.88,1.05
AAPL,Apple Inc,152.75,3.9,2.62
AMAT,Applied Materials Inc,135.55,3.39,2.57
ASML,ASML Holding NV,814.13,13.13,1.64
TEAM,Atlassian Corporation PLC,415.75,2.87,0.7
ADSK,Autodesk Inc,316.08,7.57,2.45
ATVI,Activision Blizzard Inc,78.64,-0.01,-0.01
ADP,Automatic Data Processing Inc,221.91,-0.04,-0.02
AVGO,Broadcom Inc,526.49,3.38,0.65
BIDU,Baidu Inc,167.53,-0.22,-0.13
BIIB,Biogen Inc,263.45,3.5,1.34
BMRN,Biomarin Pharmaceutical Inc,76.89,5.17,7.21
BKNG,Booking Holdings Inc,"2,418.89",-9.2,-0.38
CDNS,Cadence Design Systems Inc,168.1,3.01,1.82
CDW,CDW Corp,187.34,2.97,1.61
CERN,Cerner Corp,70.75,0.86,1.23
CHKP,Check Point Software Technologies Ltd,121.46,3.35,2.83
CHTR,Charter Communications Inc,709.45,-5.06,-0.71
CPRT,Copart Inc,152.16,0.57,0.38
CRWD,CrowdStrike Holdings Inc,283,4,1.43
CTAS,Cintas Corp,425.03,2.09,0.49
CSCO,Cisco Systems Inc,56.6,0.43,0.76
CMCSA,Comcast Corp,52.5,0.06,0.11
COST,Costco Wholesale Corp,490.27,1.95,0.4
CSX,CSX Corp,36.06,0.2,0.54
CTSH,Cognizant Technology Solutions Corp,78.32,0.62,0.79
DOCU,DocuSign Inc,272.46,-5.5,-1.98
DXCM,Dexcom Inc,560.05,1.51,0.27
DLTR,Dollar Tree Inc,105.68,1.19,1.14
EA,Electronic Arts,140.57,0.2,0.14
EBAY,eBay Inc,72.53,-5.13,-6.61
EXC,Exelon Corp,52.44,0.46,0.88
FAST,Fastenal Co,55.77,0.2,0.36
FB,Facebook,313.58,1.36,0.44
FISV,Fiserv Inc,97.3,-1.53,-1.55
FOX,Fox Corp. Class B,37.69,0.21,0.56
FOXA,Fox Corp. Class A,40.58,0.38,0.96
GILD,Gilead Sciences Inc,67.34,0.57,0.85
GOOG,Alphabet Class C,"2,913.16",-15.39,-0.53
GOOGL,Alphabet Class A,"2,909.29",-15.06,-0.51
HON,Honeywell International Inc,216.47,0.75,0.35
ILMN,Illumina Inc,417.07,5.06,1.23
INCY,Incyte Corp,65.5,0.53,0.82
INTC,Intel Corp,48.04,0.15,0.31
INTU,Intuit Inc,618.01,4.88,0.8
ISRG,Intuitive Surgical Inc,354.74,5.76,1.65
MRVL,Marvell Technology Inc,68.55,0.85,1.26
IDXX,IDEXX Laboratories Inc,652.2,11.7,1.83
JD,JD.Com Inc,79.89,-0.97,-1.2
KDP,Keurig Dr Pepper Inc,35.18,0.98,2.87
KLAC,KLA Corp,356.96,16.39,4.81
KHC,Kraft Heinz Co,36.18,-0.22,-0.6
LRCX,Lam Research Corp,572.79,19.17,3.46
